,0
213,tensor([[-0.1901]])
214,tensor([[-0.1901]])
215,tensor([[-0.1901]])
216,tensor([[-0.1901]])
217,tensor([[-0.1901]])
218,tensor([[-0.1901]])
219,tensor([[-0.1901]])
220,tensor([[-0.1901]])
221,tensor([[-0.1901]])
222,tensor([[-0.1901]])
223,tensor([[-0.1901]])
224,tensor([[-0.1901]])
225,tensor([[-0.1901]])
226,tensor([[-0.1901]])
227,tensor([[-0.1901]])
228,tensor([[-0.1901]])
229,tensor([[-0.1901]])
230,tensor([[-0.1901]])
231,tensor([[-0.1901]])
232,tensor([[-0.1901]])
233,tensor([[-0.1901]])
234,tensor([[-0.1901]])
235,tensor([[-0.1901]])
236,tensor([[-0.1901]])
237,tensor([[-0.1901]])
238,tensor([[-0.1901]])
239,tensor([[-0.1901]])
240,tensor([[-0.1901]])
241,tensor([[-0.1901]])
242,tensor([[-0.1901]])
243,tensor([[-0.1901]])
244,tensor([[-0.1901]])
245,tensor([[-0.1901]])
246,tensor([[-0.1901]])
247,tensor([[-0.1901]])
248,tensor([[-0.1901]])
249,tensor([[-0.1901]])
250,tensor([[-0.1901]])
251,tensor([[-0.1901]])
252,tensor([[-0.1901]])
253,tensor([[-0.1901]])
254,tensor([[-0.1901]])
255,tensor([[-0.1901]])
256,tensor([[-0.1901]])
257,tensor([[-0.1901]])
258,tensor([[-0.1901]])
259,tensor([[-0.1901]])
260,tensor([[-0.1901]])
261,tensor([[-0.1901]])
262,tensor([[-0.1901]])
263,tensor([[-0.1901]])
264,tensor([[-0.1901]])
265,tensor([[-0.1901]])
266,tensor([[-0.1901]])
267,tensor([[-0.1901]])
268,tensor([[-0.1901]])
269,tensor([[-0.1901]])
270,tensor([[-0.1901]])
271,tensor([[-0.1901]])
272,tensor([[-0.1901]])
273,tensor([[-0.1901]])
274,tensor([[-0.1901]])
275,tensor([[-0.1901]])
276,tensor([[-0.1901]])
277,tensor([[-0.1901]])
278,tensor([[-0.1901]])
279,tensor([[-0.1901]])
280,tensor([[-0.1901]])
281,tensor([[-0.1901]])
282,tensor([[-0.1901]])
283,tensor([[-0.1901]])
284,tensor([[-0.1901]])
285,tensor([[-0.1901]])
286,tensor([[-0.1901]])
287,tensor([[-0.1901]])
288,tensor([[-0.1901]])
289,tensor([[-0.1901]])
290,tensor([[-0.1901]])
291,tensor([[-0.1901]])
292,tensor([[-0.1901]])
293,tensor([[-0.1901]])
294,tensor([[-0.1901]])
295,tensor([[-0.1901]])
296,tensor([[-0.1901]])
297,tensor([[-0.1901]])
298,tensor([[-0.1901]])
299,tensor([[-0.1901]])
300,tensor([[-0.1901]])
301,tensor([[-0.1901]])
302,tensor([[-0.1901]])
303,tensor([[-0.1901]])
304,tensor([[-0.1901]])
305,tensor([[-0.1901]])
306,tensor([[-0.1901]])
307,tensor([[-0.1901]])
308,tensor([[-0.1901]])
309,tensor([[-0.1901]])
310,tensor([[-0.1901]])
311,tensor([[-0.1901]])
312,tensor([[-0.1901]])
313,tensor([[-0.1901]])
314,tensor([[-0.1901]])
315,tensor([[-0.1901]])
316,tensor([[-0.1901]])
317,tensor([[-0.1901]])
318,tensor([[-0.1901]])
319,tensor([[-0.1901]])
320,tensor([[-0.1901]])
321,tensor([[-0.1901]])
322,tensor([[-0.1901]])
323,tensor([[-0.1901]])
324,tensor([[-0.1901]])
325,tensor([[-0.1901]])
326,tensor([[-0.1901]])
327,tensor([[-0.1901]])
328,tensor([[-0.1901]])
329,tensor([[-0.1901]])
330,tensor([[-0.1901]])
331,tensor([[-0.1901]])
332,tensor([[-0.1901]])
333,tensor([[-0.1901]])
334,tensor([[-0.1901]])
335,tensor([[-0.1901]])
336,tensor([[-0.1901]])
337,tensor([[-0.1901]])
338,tensor([[-0.1901]])
339,tensor([[-0.1901]])
340,tensor([[-0.1901]])
341,tensor([[-0.1901]])
342,tensor([[-0.1901]])
343,tensor([[-0.1901]])
344,tensor([[-0.1901]])
345,tensor([[-0.1901]])
346,tensor([[-0.1901]])
347,tensor([[-0.1901]])
348,tensor([[-0.1901]])
349,tensor([[-0.1901]])
350,tensor([[-0.1901]])
351,tensor([[-0.1901]])
352,tensor([[-0.1901]])
353,tensor([[-0.1901]])
354,tensor([[-0.1901]])
355,tensor([[-0.1901]])
356,tensor([[-0.1901]])
357,tensor([[-0.1901]])
358,tensor([[-0.1901]])
359,tensor([[-0.1901]])
360,tensor([[-0.1901]])
361,tensor([[-0.1901]])
362,tensor([[-0.1901]])
363,tensor([[-0.1901]])
364,tensor([[-0.1901]])
365,tensor([[-0.1901]])
366,tensor([[-0.1901]])
367,tensor([[-0.1901]])
368,tensor([[-0.1901]])
369,tensor([[-0.1901]])
370,tensor([[-0.1901]])
