,0
213,tensor([[-0.2321]])
214,tensor([[-0.2321]])
215,tensor([[-0.2321]])
216,tensor([[-0.2321]])
217,tensor([[-0.2321]])
218,tensor([[-0.2321]])
219,tensor([[-0.2321]])
220,tensor([[-0.2321]])
221,tensor([[-0.2321]])
222,tensor([[-0.2321]])
223,tensor([[-0.2321]])
224,tensor([[-0.2321]])
225,tensor([[-0.2321]])
226,tensor([[-0.2321]])
227,tensor([[-0.2321]])
228,tensor([[-0.2321]])
229,tensor([[-0.2321]])
230,tensor([[-0.2321]])
231,tensor([[-0.2321]])
232,tensor([[-0.2321]])
233,tensor([[-0.2321]])
234,tensor([[-0.2321]])
235,tensor([[-0.2321]])
236,tensor([[-0.2321]])
237,tensor([[-0.2321]])
238,tensor([[-0.2321]])
239,tensor([[-0.2321]])
240,tensor([[-0.2321]])
241,tensor([[-0.2321]])
242,tensor([[-0.2321]])
243,tensor([[-0.2321]])
244,tensor([[-0.2321]])
245,tensor([[-0.2321]])
246,tensor([[-0.2321]])
247,tensor([[-0.2321]])
248,tensor([[-0.2321]])
249,tensor([[-0.2321]])
250,tensor([[-0.2321]])
251,tensor([[-0.2321]])
252,tensor([[-0.2321]])
253,tensor([[-0.2321]])
254,tensor([[-0.2321]])
255,tensor([[-0.2321]])
256,tensor([[-0.2321]])
257,tensor([[-0.2321]])
258,tensor([[-0.2321]])
259,tensor([[-0.2321]])
260,tensor([[-0.2321]])
261,tensor([[-0.2321]])
262,tensor([[-0.2321]])
263,tensor([[-0.2321]])
264,tensor([[-0.2321]])
265,tensor([[-0.2321]])
266,tensor([[-0.2321]])
267,tensor([[-0.2321]])
268,tensor([[-0.2321]])
269,tensor([[-0.2321]])
270,tensor([[-0.2321]])
271,tensor([[-0.2321]])
272,tensor([[-0.2321]])
273,tensor([[-0.2321]])
274,tensor([[-0.2321]])
275,tensor([[-0.2321]])
276,tensor([[-0.2321]])
277,tensor([[-0.2321]])
278,tensor([[-0.2321]])
279,tensor([[-0.2321]])
280,tensor([[-0.2321]])
281,tensor([[-0.2321]])
282,tensor([[-0.2321]])
283,tensor([[-0.2321]])
284,tensor([[-0.2321]])
285,tensor([[-0.2321]])
286,tensor([[-0.2321]])
287,tensor([[-0.2321]])
288,tensor([[-0.2321]])
289,tensor([[-0.2321]])
290,tensor([[-0.2321]])
291,tensor([[-0.2321]])
292,tensor([[-0.2321]])
293,tensor([[-0.2321]])
294,tensor([[-0.2321]])
295,tensor([[-0.2321]])
296,tensor([[-0.2321]])
297,tensor([[-0.2321]])
298,tensor([[-0.2321]])
299,tensor([[-0.2321]])
300,tensor([[-0.2321]])
301,tensor([[-0.2321]])
302,tensor([[-0.2321]])
303,tensor([[-0.2321]])
304,tensor([[-0.2321]])
305,tensor([[-0.2321]])
306,tensor([[-0.2321]])
307,tensor([[-0.2321]])
308,tensor([[-0.2321]])
309,tensor([[-0.2321]])
310,tensor([[-0.2321]])
311,tensor([[-0.2321]])
312,tensor([[-0.2321]])
313,tensor([[-0.2321]])
314,tensor([[-0.2321]])
315,tensor([[-0.2321]])
316,tensor([[-0.2321]])
317,tensor([[-0.2321]])
318,tensor([[-0.2321]])
319,tensor([[-0.2321]])
320,tensor([[-0.2321]])
321,tensor([[-0.2321]])
322,tensor([[-0.2321]])
323,tensor([[-0.2321]])
324,tensor([[-0.2321]])
325,tensor([[-0.2321]])
326,tensor([[-0.2321]])
327,tensor([[-0.2321]])
328,tensor([[-0.2321]])
329,tensor([[-0.2321]])
330,tensor([[-0.2321]])
331,tensor([[-0.2321]])
332,tensor([[-0.2321]])
333,tensor([[-0.2321]])
334,tensor([[-0.2321]])
335,tensor([[-0.2321]])
336,tensor([[-0.2321]])
337,tensor([[-0.2321]])
338,tensor([[-0.2321]])
339,tensor([[-0.2321]])
340,tensor([[-0.2321]])
341,tensor([[-0.2321]])
342,tensor([[-0.2321]])
343,tensor([[-0.2321]])
344,tensor([[-0.2321]])
345,tensor([[-0.2321]])
346,tensor([[-0.2321]])
347,tensor([[-0.2321]])
348,tensor([[-0.2321]])
349,tensor([[-0.2321]])
350,tensor([[-0.2321]])
351,tensor([[-0.2321]])
352,tensor([[-0.2321]])
353,tensor([[-0.2321]])
354,tensor([[-0.2321]])
355,tensor([[-0.2321]])
356,tensor([[-0.2321]])
357,tensor([[-0.2321]])
358,tensor([[-0.2321]])
359,tensor([[-0.2321]])
360,tensor([[-0.2321]])
361,tensor([[-0.2321]])
362,tensor([[-0.2321]])
363,tensor([[-0.2321]])
364,tensor([[-0.2321]])
365,tensor([[-0.2321]])
366,tensor([[-0.2321]])
367,tensor([[-0.2321]])
368,tensor([[-0.2321]])
369,tensor([[-0.2321]])
370,tensor([[-0.2321]])
371,tensor([[-0.2321]])
372,tensor([[-0.2321]])
373,tensor([[-0.2321]])
374,tensor([[-0.2321]])
375,tensor([[-0.2321]])
376,tensor([[-0.2321]])
377,tensor([[-0.2321]])
378,tensor([[-0.2321]])
379,tensor([[-0.2321]])
380,tensor([[-0.2321]])
381,tensor([[-0.2321]])
382,tensor([[-0.2321]])
383,tensor([[-0.2321]])
384,tensor([[-0.2321]])
385,tensor([[-0.2321]])
386,tensor([[-0.2321]])
387,tensor([[-0.2321]])
388,tensor([[-0.2321]])
389,tensor([[-0.2321]])
390,tensor([[-0.2321]])
391,tensor([[-0.2321]])
392,tensor([[-0.2321]])
393,tensor([[-0.2321]])
394,tensor([[-0.2321]])
395,tensor([[-0.2321]])
396,tensor([[-0.2321]])
397,tensor([[-0.2321]])
398,tensor([[-0.2321]])
399,tensor([[-0.2321]])
400,tensor([[-0.2321]])
401,tensor([[-0.2321]])
402,tensor([[-0.2321]])
403,tensor([[-0.2321]])
404,tensor([[-0.2321]])
405,tensor([[-0.2321]])
406,tensor([[-0.2321]])
407,tensor([[-0.2321]])
408,tensor([[-0.2321]])
409,tensor([[-0.2321]])
410,tensor([[-0.2321]])
411,tensor([[-0.2321]])
412,tensor([[-0.2321]])
413,tensor([[-0.2321]])
414,tensor([[-0.2321]])
415,tensor([[-0.2321]])
416,tensor([[-0.2321]])
417,tensor([[-0.2321]])
418,tensor([[-0.2321]])
419,tensor([[-0.2321]])
420,tensor([[-0.2321]])
421,tensor([[-0.2321]])
422,tensor([[-0.2321]])
423,tensor([[-0.2321]])
424,tensor([[-0.2321]])
425,tensor([[-0.2321]])
426,tensor([[-0.2321]])
427,tensor([[-0.2321]])
428,tensor([[-0.2321]])
429,tensor([[-0.2321]])
430,tensor([[-0.2321]])
431,tensor([[-0.2321]])
432,tensor([[-0.2321]])
433,tensor([[-0.2321]])
434,tensor([[-0.2321]])
435,tensor([[-0.2321]])
436,tensor([[-0.2321]])
437,tensor([[-0.2321]])
438,tensor([[-0.2321]])
439,tensor([[-0.2321]])
440,tensor([[-0.2321]])
441,tensor([[-0.2321]])
442,tensor([[-0.2321]])
443,tensor([[-0.2321]])
444,tensor([[-0.2321]])
445,tensor([[-0.2321]])
446,tensor([[-0.2321]])
447,tensor([[-0.2321]])
448,tensor([[-0.2321]])
449,tensor([[-0.2321]])
450,tensor([[-0.2321]])
451,tensor([[-0.2321]])
452,tensor([[-0.2321]])
453,tensor([[-0.2321]])
454,tensor([[-0.2321]])
455,tensor([[-0.2321]])
456,tensor([[-0.2321]])
457,tensor([[-0.2321]])
458,tensor([[-0.2321]])
459,tensor([[-0.2321]])
460,tensor([[-0.2321]])
461,tensor([[-0.2321]])
462,tensor([[-0.2321]])
463,tensor([[-0.2321]])
464,tensor([[-0.2321]])
465,tensor([[-0.2321]])
466,tensor([[-0.2321]])
467,tensor([[-0.2321]])
468,tensor([[-0.2321]])
469,tensor([[-0.2321]])
470,tensor([[-0.2321]])
471,tensor([[-0.2321]])
472,tensor([[-0.2321]])
473,tensor([[-0.2321]])
474,tensor([[-0.2321]])
475,tensor([[-0.2321]])
476,tensor([[-0.2321]])
477,tensor([[-0.2321]])
478,tensor([[-0.2321]])
479,tensor([[-0.2321]])
480,tensor([[-0.2321]])
481,tensor([[-0.2321]])
482,tensor([[-0.2321]])
483,tensor([[-0.2321]])
484,tensor([[-0.2321]])
485,tensor([[-0.2321]])
486,tensor([[-0.2321]])
487,tensor([[-0.2321]])
488,tensor([[-0.2321]])
489,tensor([[-0.2321]])
490,tensor([[-0.2321]])
491,tensor([[-0.2321]])
492,tensor([[-0.2321]])
493,tensor([[-0.2321]])
494,tensor([[-0.2321]])
495,tensor([[-0.2321]])
496,tensor([[-0.2321]])
497,tensor([[-0.2321]])
498,tensor([[-0.2321]])
499,tensor([[-0.2321]])
500,tensor([[-0.2321]])
501,tensor([[-0.2321]])
502,tensor([[-0.2321]])
503,tensor([[-0.2321]])
504,tensor([[-0.2321]])
505,tensor([[-0.2321]])
506,tensor([[-0.2321]])
507,tensor([[-0.2321]])
508,tensor([[-0.2321]])
509,tensor([[-0.2321]])
510,tensor([[-0.2321]])
511,tensor([[-0.2321]])
512,tensor([[-0.2321]])
513,tensor([[-0.2321]])
514,tensor([[-0.2321]])
515,tensor([[-0.2321]])
516,tensor([[-0.2321]])
517,tensor([[-0.2321]])
518,tensor([[-0.2321]])
519,tensor([[-0.2321]])
520,tensor([[-0.2321]])
521,tensor([[-0.2321]])
522,tensor([[-0.2321]])
523,tensor([[-0.2321]])
524,tensor([[-0.2321]])
525,tensor([[-0.2321]])
526,tensor([[-0.2321]])
527,tensor([[-0.2321]])
528,tensor([[-0.2321]])
529,tensor([[-0.2321]])
530,tensor([[-0.2321]])
531,tensor([[-0.2321]])
532,tensor([[-0.2321]])
533,tensor([[-0.2321]])
534,tensor([[-0.2321]])
535,tensor([[-0.2321]])
536,tensor([[-0.2321]])
537,tensor([[-0.2321]])
538,tensor([[-0.2321]])
539,tensor([[-0.2321]])
540,tensor([[-0.2321]])
541,tensor([[-0.2321]])
542,tensor([[-0.2321]])
543,tensor([[-0.2321]])
544,tensor([[-0.2321]])
545,tensor([[-0.2321]])
546,tensor([[-0.2321]])
547,tensor([[-0.2321]])
548,tensor([[-0.2321]])
549,tensor([[-0.2321]])
550,tensor([[-0.2321]])
551,tensor([[-0.2321]])
552,tensor([[-0.2321]])
553,tensor([[-0.2321]])
554,tensor([[-0.2321]])
555,tensor([[-0.2321]])
556,tensor([[-0.2321]])
557,tensor([[-0.2321]])
558,tensor([[-0.2321]])
559,tensor([[-0.2321]])
560,tensor([[-0.2321]])
561,tensor([[-0.2321]])
562,tensor([[-0.2321]])
563,tensor([[-0.2321]])
564,tensor([[-0.2321]])
565,tensor([[-0.2321]])
566,tensor([[-0.2321]])
567,tensor([[-0.2321]])
568,tensor([[-0.2321]])
569,tensor([[-0.2321]])
570,tensor([[-0.2321]])
571,tensor([[-0.2321]])
572,tensor([[-0.2321]])
573,tensor([[-0.2321]])
574,tensor([[-0.2321]])
575,tensor([[-0.2321]])
576,tensor([[-0.2321]])
577,tensor([[-0.2321]])
578,tensor([[-0.2321]])
579,tensor([[-0.2321]])
580,tensor([[-0.2321]])
581,tensor([[-0.2321]])
582,tensor([[-0.2321]])
583,tensor([[-0.2321]])
584,tensor([[-0.2321]])
585,tensor([[-0.2321]])
586,tensor([[-0.2321]])
587,tensor([[-0.2321]])
588,tensor([[-0.2321]])
589,tensor([[-0.2321]])
590,tensor([[-0.2321]])
591,tensor([[-0.2321]])
592,tensor([[-0.2321]])
593,tensor([[-0.2321]])
594,tensor([[-0.2321]])
595,tensor([[-0.2321]])
596,tensor([[-0.2321]])
597,tensor([[-0.2321]])
598,tensor([[-0.2321]])
599,tensor([[-0.2321]])
600,tensor([[-0.2321]])
601,tensor([[-0.2321]])
602,tensor([[-0.2321]])
603,tensor([[-0.2321]])
604,tensor([[-0.2321]])
605,tensor([[-0.2321]])
606,tensor([[-0.2321]])
607,tensor([[-0.2321]])
608,tensor([[-0.2321]])
609,tensor([[-0.2321]])
610,tensor([[-0.2321]])
611,tensor([[-0.2321]])
612,tensor([[-0.2321]])
613,tensor([[-0.2321]])
614,tensor([[-0.2321]])
615,tensor([[-0.2321]])
616,tensor([[-0.2321]])
617,tensor([[-0.2321]])
618,tensor([[-0.2321]])
619,tensor([[-0.2321]])
620,tensor([[-0.2321]])
621,tensor([[-0.2321]])
622,tensor([[-0.2321]])
623,tensor([[-0.2321]])
624,tensor([[-0.2321]])
625,tensor([[-0.2321]])
626,tensor([[-0.2321]])
627,tensor([[-0.2321]])
628,tensor([[-0.2321]])
629,tensor([[-0.2321]])
630,tensor([[-0.2321]])
631,tensor([[-0.2321]])
632,tensor([[-0.2321]])
633,tensor([[-0.2321]])
634,tensor([[-0.2321]])
635,tensor([[-0.2321]])
636,tensor([[-0.2321]])
637,tensor([[-0.2321]])
638,tensor([[-0.2321]])
639,tensor([[-0.2321]])
640,tensor([[-0.2321]])
641,tensor([[-0.2321]])
642,tensor([[-0.2321]])
643,tensor([[-0.2321]])
644,tensor([[-0.2321]])
645,tensor([[-0.2321]])
646,tensor([[-0.2321]])
647,tensor([[-0.2321]])
648,tensor([[-0.2321]])
649,tensor([[-0.2321]])
650,tensor([[-0.2321]])
651,tensor([[-0.2321]])
652,tensor([[-0.2321]])
653,tensor([[-0.2321]])
654,tensor([[-0.2321]])
655,tensor([[-0.2321]])
656,tensor([[-0.2321]])
657,tensor([[-0.2321]])
658,tensor([[-0.2321]])
659,tensor([[-0.2321]])
660,tensor([[-0.2321]])
661,tensor([[-0.2321]])
662,tensor([[-0.2321]])
663,tensor([[-0.2321]])
664,tensor([[-0.2321]])
665,tensor([[-0.2321]])
666,tensor([[-0.2321]])
667,tensor([[-0.2321]])
668,tensor([[-0.2321]])
669,tensor([[-0.2321]])
670,tensor([[-0.2321]])
671,tensor([[-0.2321]])
672,tensor([[-0.2321]])
673,tensor([[-0.2321]])
674,tensor([[-0.2321]])
675,tensor([[-0.2321]])
676,tensor([[-0.2321]])
677,tensor([[-0.2321]])
678,tensor([[-0.2321]])
679,tensor([[-0.2321]])
680,tensor([[-0.2321]])
681,tensor([[-0.2321]])
682,tensor([[-0.2321]])
683,tensor([[-0.2321]])
684,tensor([[-0.2321]])
685,tensor([[-0.2321]])
686,tensor([[-0.2321]])
687,tensor([[-0.2321]])
688,tensor([[-0.2321]])
689,tensor([[-0.2321]])
690,tensor([[-0.2321]])
691,tensor([[-0.2321]])
692,tensor([[-0.2321]])
693,tensor([[-0.2321]])
694,tensor([[-0.2321]])
695,tensor([[-0.2321]])
696,tensor([[-0.2321]])
697,tensor([[-0.2321]])
698,tensor([[-0.2321]])
699,tensor([[-0.2321]])
700,tensor([[-0.2321]])
701,tensor([[-0.2321]])
702,tensor([[-0.2321]])
703,tensor([[-0.2321]])
704,tensor([[-0.2321]])
705,tensor([[-0.2321]])
706,tensor([[-0.2321]])
707,tensor([[-0.2321]])
708,tensor([[-0.2321]])
709,tensor([[-0.2321]])
710,tensor([[-0.2321]])
711,tensor([[-0.2321]])
712,tensor([[-0.2321]])
713,tensor([[-0.2321]])
714,tensor([[-0.2321]])
715,tensor([[-0.2321]])
716,tensor([[-0.2321]])
717,tensor([[-0.2321]])
718,tensor([[-0.2321]])
719,tensor([[-0.2321]])
720,tensor([[-0.2321]])
721,tensor([[-0.2321]])
722,tensor([[-0.2321]])
723,tensor([[-0.2321]])
724,tensor([[-0.2321]])
725,tensor([[-0.2321]])
726,tensor([[-0.2321]])
727,tensor([[-0.2321]])
728,tensor([[-0.2321]])
729,tensor([[-0.2321]])
730,tensor([[-0.2321]])
731,tensor([[-0.2321]])
732,tensor([[-0.2321]])
733,tensor([[-0.2321]])
734,tensor([[-0.2321]])
735,tensor([[-0.2321]])
736,tensor([[-0.2321]])
737,tensor([[-0.2321]])
738,tensor([[-0.2321]])
739,tensor([[-0.2321]])
740,tensor([[-0.2321]])
741,tensor([[-0.2321]])
742,tensor([[-0.2321]])
743,tensor([[-0.2321]])
744,tensor([[-0.2321]])
745,tensor([[-0.2321]])
746,tensor([[-0.2321]])
747,tensor([[-0.2321]])
748,tensor([[-0.2321]])
749,tensor([[-0.2321]])
750,tensor([[-0.2321]])
751,tensor([[-0.2321]])
752,tensor([[-0.2321]])
753,tensor([[-0.2321]])
754,tensor([[-0.2321]])
755,tensor([[-0.2321]])
756,tensor([[-0.2321]])
757,tensor([[-0.2321]])
758,tensor([[-0.2321]])
759,tensor([[-0.2321]])
760,tensor([[-0.2321]])
761,tensor([[-0.2321]])
762,tensor([[-0.2321]])
763,tensor([[-0.2321]])
764,tensor([[-0.2321]])
765,tensor([[-0.2321]])
766,tensor([[-0.2321]])
767,tensor([[-0.2321]])
768,tensor([[-0.2321]])
769,tensor([[-0.2321]])
770,tensor([[-0.2321]])
771,tensor([[-0.2321]])
772,tensor([[-0.2321]])
773,tensor([[-0.2321]])
774,tensor([[-0.2321]])
775,tensor([[-0.2321]])
776,tensor([[-0.2321]])
777,tensor([[-0.2321]])
778,tensor([[-0.2321]])
779,tensor([[-0.2321]])
780,tensor([[-0.2321]])
781,tensor([[-0.2321]])
782,tensor([[-0.2321]])
783,tensor([[-0.2321]])
784,tensor([[-0.2321]])
785,tensor([[-0.2321]])
786,tensor([[-0.2321]])
787,tensor([[-0.2321]])
788,tensor([[-0.2321]])
789,tensor([[-0.2321]])
790,tensor([[-0.2321]])
791,tensor([[-0.2321]])
792,tensor([[-0.2321]])
793,tensor([[-0.2321]])
794,tensor([[-0.2321]])
795,tensor([[-0.2321]])
796,tensor([[-0.2321]])
797,tensor([[-0.2321]])
798,tensor([[-0.2321]])
799,tensor([[-0.2321]])
800,tensor([[-0.2321]])
801,tensor([[-0.2321]])
802,tensor([[-0.2321]])
803,tensor([[-0.2321]])
804,tensor([[-0.2321]])
805,tensor([[-0.2321]])
806,tensor([[-0.2321]])
807,tensor([[-0.2321]])
808,tensor([[-0.2321]])
809,tensor([[-0.2321]])
810,tensor([[-0.2321]])
811,tensor([[-0.2321]])
812,tensor([[-0.2321]])
813,tensor([[-0.2321]])
814,tensor([[-0.2321]])
815,tensor([[-0.2321]])
816,tensor([[-0.2321]])
817,tensor([[-0.2321]])
818,tensor([[-0.2321]])
819,tensor([[-0.2321]])
820,tensor([[-0.2321]])
821,tensor([[-0.2321]])
822,tensor([[-0.2321]])
823,tensor([[-0.2321]])
824,tensor([[-0.2321]])
825,tensor([[-0.2321]])
